application/vnd.marlin.drm.actiontoken+xml '[Ellison]
application/vnd.marlin.drm.conftoken+xml '[Ellison]
application/vnd.marlin.drm.license+xml '[Ellison]
application/vnd.marlin.drm.mdcf '[Ellison]
application/vnd.mcd '[Gotoh]
application/vnd.medcalcdata '[Schoonjans]
application/vnd.mediastation.cdkey '[Flurry]
application/vnd.meridian-slingshot '[Wedel]
application/vnd.MFER '[Hirai]
application/vnd.mfmp '[Ikeda]
application/vnd.micrografx.flo '[Prevo]
application/vnd.micrografx.igx '[Prevo]
application/vnd.mif '[Wexler]
application/vnd.minisoft-hp3000-save '[Bartram]
application/vnd.mitsubishi.misty-guard.trustweb '[Tanaka]
application/vnd.Mobius.DAF '[Kabayama]
application/vnd.Mobius.DIS '[Kabayama]
application/vnd.Mobius.MBK '[Devasia]
application/vnd.Mobius.MQY '[Devasia]
application/vnd.Mobius.MSL '[Kabayama]
application/vnd.Mobius.PLC '[Kabayama]
application/vnd.Mobius.TXF '[Kabayama]
application/vnd.mophun.application '[Wennerstrom]
application/vnd.mophun.certificate '[Wennerstrom]
application/vnd.motorola.flexsuite '[Patton]
application/vnd.motorola.flexsuite.adsi '[Patton]
application/vnd.motorola.flexsuite.fis '[Patton]
application/vnd.motorola.flexsuite.gotap '[Patton]
application/vnd.motorola.flexsuite.kmr '[Patton]
application/vnd.motorola.flexsuite.ttc '[Patton]
application/vnd.motorola.flexsuite.wem '[Patton]
application/vnd.motorola.iprm '[Shamsaasef]
application/vnd.mozilla.xul+xml '[McDaniel]
application/vnd.ms-artgalry '[Slawson]
application/vnd.ms-asf '[Fleischman]
application/vnd.ms-cab-compressed '[Scarborough]
application/vnd.mseq '[Le Bodic]
application/vnd.ms-excel '[Gill]
application/vnd.ms-fontobject '[Scarborough]
application/vnd.ms-htmlhelp '[Techtonik]
application/vnd.msign '[Borcherding]
application/vnd.ms-ims '[Ledoux]
application/vnd.ms-lrm '[Ledoux]
application/vnd.ms-playready.initiator+xml '[Schneider]
application/vnd.ms-powerpoint '[Gill]
application/vnd.ms-project '[Gill]
application/vnd.ms-tnef '[Gill]
application/vnd.ms-wmdrm.lic-chlg-req '[Lau]
application/vnd.ms-wmdrm.lic-resp '[Lau]
application/vnd.ms-wmdrm.meter-chlg-req '[Lau]
application/vnd.ms-wmdrm.meter-resp '[Lau]
application/vnd.ms-works '[Gill]
application/vnd.ms-wpl '[Plastina]
application/vnd.ms-xpsdocument '[McGatha]
application/vnd.multiad.creator '[Mills]
application/vnd.multiad.creator.cif '[Mills]
application/vnd.musician '[Adams]
application/vnd.music-niff '[Butler]
application/vnd.muvee.style '[Anantharamu]
application/vnd.ncd.control '[Tarkkala]
application/vnd.ncd.reference '[Tarkkala]
application/vnd.nervana '[Judkins]
application/vnd.netfpx '[Mutz]
application/vnd.neurolanguage.nlu '[DuFeu]
application/vnd.noblenet-directory '[Solomon]
application/vnd.noblenet-sealer '[Solomon]
application/vnd.noblenet-web '[Solomon]
application/vnd.nokia.catalogs '[Nokia]
application/vnd.nokia.conml+wbxml '[Nokia]
application/vnd.nokia.conml+xml '[Nokia]
application/vnd.nokia.iptv.config+xml '[Nokia]
application/vnd.nokia.iSDS-radio-presets '[Nokia]
application/vnd.nokia.landmark+wbxml '[Nokia]
application/vnd.nokia.landmark+xml '[Nokia]
application/vnd.nokia.landmarkcollection+xml '[Nokia]
application/vnd.nokia.ncd '[Nokia]
application/vnd.nokia.n-gage.ac+xml '[Nokia]
application/vnd.nokia.n-gage.data '[Nokia]
application/vnd.nokia.n-gage.symbian.install '[Nokia]
application/vnd.nokia.pcd+wbxml '[Nokia]
application/vnd.nokia.pcd+xml '[Nokia]
application/vnd.nokia.radio-preset '[Nokia]
application/vnd.nokia.radio-presets '[Nokia]
application/vnd.novadigm.EDM '[Swenson]
application/vnd.novadigm.EDX '[Swenson]
application/vnd.novadigm.EXT '[Swenson]
application/vnd.oasis.opendocument.chart '[Oppermann]
application/vnd.oasis.opendocument.chart-template '[Oppermann]
application/vnd.oasis.opendocument.database '[Schubert],[Oasis OpenDocument TC=OASISOpenDocumentTC]
application/vnd.oasis.opendocument.formula '[Oppermann]
application/vnd.oasis.opendocument.formula-template '[Oppermann]
application/vnd.oasis.opendocument.graphics '[Oppermann]
application/vnd.oasis.opendocument.graphics-template '[Oppermann]
application/vnd.oasis.opendocument.image '[Oppermann]
application/vnd.oasis.opendocument.image-template '[Oppermann]
application/vnd.oasis.opendocument.presentation '[Oppermann]
application/vnd.oasis.opendocument.presentation-template '[Oppermann]
application/vnd.oasis.opendocument.spreadsheet '[Oppermann]
application/vnd.oasis.opendocument.spreadsheet-template '[Oppermann]
application/vnd.oasis.opendocument.text '[Oppermann]
application/vnd.oasis.opendocument.text-master '[Oppermann]
application/vnd.oasis.opendocument.text-template '[Oppermann]
application/vnd.oasis.opendocument.text-web '[Oppermann]
application/vnd.obn '[Hessling]
application/vnd.olpc-sugar '[Palmieri]
application/vnd.oma.bcast.associated-procedure-parameter+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.drm-trigger+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.imd+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.ltkm '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.notification+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.provisioningtrigger '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.sgboot '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.sgdd+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.sgdu '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.simple-symbol-container '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.smartcard-trigger+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.sprov+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.bcast.stkm '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.dcd '[Primo],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.dcdc '[Primo],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.dd2+xml '[Sato],[Open Mobile Alliance's BAC DLDRM Working Group]
application/vnd.oma.drm.risd+xml '[Rauschenbach],[OMNA - Open Mobile Naming Authority=OMNA-OpenMobileNamingAuthority]
application/vnd.oma.group-usage-list+xml '[Kelley],[OMA Presence and Availability (PAG) Working Group]
application/vnd.oma.poc.detailed-progress-report+xml '[OMA Push to Talk over Cellular (POC) Working Group]
application/vnd.oma.poc.final-report+xml '[OMA Push to Talk over Cellular (POC) Working Group]
application/vnd.oma.poc.groups+xml '[Kelley],[OMA Push to Talk over Cellular (POC) Working Group]
application/vnd.oma.poc.invocation-descriptor+xml '[OMA Push to Talk over Cellular (POC) Working Group]
application/vnd.oma.poc.optimized-progress-report+xml '[OMA Push to Talk over Cellular (POC) Working Group]
application/vnd.oma.xcap-directory+xml '[Kelley],[OMA Presence and Availability (PAG) Working Group]
application/vnd.omads-email+xml '[OMA Data Synchronization Working Group]
application/vnd.omads-file+xml '[OMA Data Synchronization Working Group]
application/vnd.omads-folder+xml '[OMA Data Synchronization Working Group]
application/vnd.omaloc-supl-init '[Grange]
application/vnd.oma-scws-config '[Mahalal]
application/vnd.oma-scws-http-request '[Mahalal]
application/vnd.oma-scws-http-response '[Mahalal]
application/vnd.openofficeorg.extension '[Lingner]
application/vnd.osa.netdeploy '[Klos]
application/vnd.osgi.bundle '[Kriens]
application/vnd.osgi.dp '[Kriens]
application/vnd.otps.ct-kip+xml '[Nyström=Nystrom]
application/vnd.palm '[Peacock]
application/vnd.paos.xml '[Kemp]
application/vnd.pg.format '[Gandert]
application/vnd.pg.osasli '[Gandert]
application/vnd.piaccess.application-licence '[Maneos]
application/vnd.picsel '[Naccarato]
application/vnd.poc.group-advertisement+xml '[Kelley],[OMA Push to Talk over Cellular (POC) Working Group]
application/vnd.pocketlearn '[Pando]
application/vnd.powerbuilder6 '[Guy]
application/vnd.powerbuilder6-s '[Guy]
application/vnd.powerbuilder7 '[Shilts]
application/vnd.powerbuilder75 '[Shilts]
application/vnd.powerbuilder75-s '[Shilts]
application/vnd.powerbuilder7-s '[Shilts]
application/vnd.preminet '[Tenhunen]
application/vnd.previewsystems.box '[Smolgovsky]
application/vnd.proteus.magazine '[Hoch]
application/vnd.publishare-delta-tree '[Ben-Kiki]
application/vnd.pvi.ptid1 '[Lamb]
application/vnd.pwg-multiplexed 'RFC3391
application/vnd.pwg-xhtml-print+xml '[Wright]
application/vnd.qualcomm.brew-app-res '[Forrester]
application/vnd.Quark.QuarkXPress '[Scheidler]
application/vnd.rapid '[Szekely]
application/vnd.recordare.musicxml '[Good]
application/vnd.recordare.musicxml+xml '[Good]
application/vnd.RenLearn.rlprint '[Wick]
application/vnd.route66.link66+xml '[Kikstra]
application/vnd.ruckus.download '[Harris]
application/vnd.s3sms '[Tarkkala]
application/vnd.sbm.cid '[Kusakari]
application/vnd.sbm.mid2 '[Murai]
application/vnd.scribus '[Bradney]
application/vnd.sealed.3df '[Kwan]
application/vnd.sealed.csf '[Kwan]
application/vnd.sealed.doc '[Petersen]
application/vnd.sealed.eml '[Petersen]
application/vnd.sealed.mht '[Petersen]
application/vnd.sealed.net '[Lambert]
application/vnd.sealed.ppt '[Petersen]
application/vnd.sealed.tiff '[Kwan],[Lambert]
application/vnd.sealed.xls '[Petersen]
application/vnd.sealedmedia.softseal.html '[Petersen]
application/vnd.sealedmedia.softseal.pdf '[Petersen]
application/vnd.seemail '[Webb]
application/vnd.sema '[Hansson]
application/vnd.semd '[Hansson]
application/vnd.semf '[Hansson]
application/vnd.shana.informed.formdata '[Selzler]
application/vnd.shana.informed.formtemplate '[Selzler]
application/vnd.shana.informed.interchange '[Selzler]
application/vnd.shana.informed.package '[Selzler]
application/vnd.SimTech-MindMapper '[Koh]
application/vnd.smaf '[Takahashi]
application/vnd.smart.teacher '[Boyle]
application/vnd.software602.filler.form+xml '[Hytka],[Vondrous]
application/vnd.software602.filler.form-xml-zip '[Hytka],[Vondrous]
application/vnd.solent.sdkm+xml '[Gauntlett]
application/vnd.spotfire.dxp '[Jernberg]
application/vnd.spotfire.sfs '[Jernberg]
application/vnd.sss-cod '[Dani]
application/vnd.sss-dtf '[Bruno]
application/vnd.sss-ntf '[Bruno]
application/vnd.street-stream '[Levitt]
application/vnd.sun.wadl+xml '[Hadley]
application/vnd.sus-calendar '[Niedfeldt]
application/vnd.svd '[Becker]
application/vnd.swiftview-ics '[Widener]
application/vnd.syncml.dm+wbxml '[OMA-DM Work Group]
application/vnd.syncml.dm+xml '[Rao],[OMA-DM Work Group]
application/vnd.syncml.ds.notification '[OMA Data Synchronization Working Group]
application/vnd.syncml+xml '[OMA Data Synchronization Working Group]
application/vnd.tao.intent-module-archive '[Shelton]
application/vnd.tmobile-livetv '[Helin]
application/vnd.trid.tpt '[Cusack]
application/vnd.triscape.mxs '[Simonoff]
application/vnd.trueapp '[Hepler]
application/vnd.truedoc '[Chase]
application/vnd.ufdl '[Manning]
application/vnd.uiq.theme '[Ocock]
application/vnd.umajin '[Riden]
application/vnd.unity '[Unity3d]
application/vnd.uoml+xml '[Gerdes]
application/vnd.uplanet.alert '[Martin]
application/vnd.uplanet.alert-wbxml '[Martin]
application/vnd.uplanet.bearer-choice '[Martin]
application/vnd.uplanet.bearer-choice-wbxml '[Martin]
application/vnd.uplanet.cacheop '[Martin]
application/vnd.uplanet.cacheop-wbxml '[Martin]
application/vnd.uplanet.channel '[Martin]
application/vnd.uplanet.channel-wbxml '[Martin]
application/vnd.uplanet.list '[Martin]
application/vnd.uplanet.listcmd '[Martin]
application/vnd.uplanet.listcmd-wbxml '[Martin]
application/vnd.uplanet.list-wbxml '[Martin]
application/vnd.uplanet.signal '[Martin]
application/vnd.vcx '[T.Sugimoto]
application/vnd.vd-study '[Rogge]
